,topic,tweet,tweets_cleaned
11088,obesity,"@david_9illies @todd_harrison many things you don't understand.  Might want to research alcohol and obesity deaths yearly vs marijuana overdose.  On the ""ruin others lives"" I have yet to meet any of those either.  unless lives youre referring to are doritos chips.",davidillies toddharrison many thing dont understand might want research alcohol obesity death yearly v marijuana overdose ruin others life yet meet either unless life youre referring doritos chip
11091,obesity,Amgen says experimental obesity drug has promising durability By Reuters t.co/0JIbK5v0DJ #breakingnews,amgen say experimental obesity drug promising durability reuters tcojibkvdj breakingnews
11093,obesity,"Amgen Inc's experimental obesity drug demonstrated promising durability trends in an early trial, paving the way for a larger mid-stage study early next year, company officials said ahead of a data presentation on Saturday. t.co/WGt2Uk2P7v",amgen inc experimental obesity drug demonstrated promising durability trend early trial paving way larger midstage study early next year company official said ahead data presentation saturday tcowgtukpv
11095,obesity,Amgen says experimental obesity drug has promising durability - t.co/4efmceSbUo,amgen say experimental obesity drug promising durability tcoefmcesbuo
11098,obesity,Amgen says experimental obesity drug has promising durability t.co/DievB0bZrI t.co/sxW1dQ619T,amgen say experimental obesity drug promising durability tcodievbbzri tcosxwdqt
11099,obesity,"Not even remotely close..

The #UnitedStates 🇺🇸 leads the developed world in:

#MassShootings
#TotalCrimes
#DrugUse
#Obesity 
#Rape 
#Prisoners
#CostofHealthCare ( without even having M4A 😳😳 )
#MilitarySpending ( more than #China, #Russia,  #Japan, #India and #NATO combined )",even remotely close unitedstates lead developed world massshootings totalcrimes druguse obesity rape prisoner costofhealthcare without even militaryspending china russia japan india nato combined 
11102,obesity,Amgen says experimental obesity drug has promising durability $AMGN t.co/7qwlq0JFfg,amgen say experimental obesity drug promising durability amgn tcoqwlqjffg
11104,obesity,Amgen says experimental obesity drug has promising durability - t.co/tcKNMDI3iO,amgen say experimental obesity drug promising durability tcotcknmdiio
11105,obesity,Amgen says experimental obesity drug has promising durability t.co/jbVui0HDrh t.co/eNFmRrnlGs,amgen say experimental obesity drug promising durability tcojbvuihdrh tcoenfmrrnlgs
11106,obesity,"⚠️ AMGEN SAYS EXPERIMENTAL OBESITY DRUG HAS PROMISING DURABILITY

- Full story via Reuters at t.co/s7nWjbjzf0", amgen say experimental obesity drug promising durability full story via reuters tcosnwjbjzf
11107,obesity,"Given obesity epidemic, a good diagnostic combined with good outcomes data will lead to rapid expansion of market.",given obesity epidemic good diagnostic combined good outcome data lead rapid expansion market
11108,obesity,"@janice_martin5 We need a frontline for toxic forms of tobacco, not for a mild stimulant.

FYI, if every adult on Earth wore a nicotine patch every day, all of the following would drop:

-smoking
-smoking-related death
-Parkinson's &amp; Alzheimer's
-obesity
-#neurodiversity problems
-depression... t.co/YImxaPTS2I",janicemartin need frontline toxic form tobacco mild stimulant fyi every adult earth wore nicotine patch every day following would drop smoking smokingrelated death parkinson amp alzheimers obesity neurodiversity problem depression tcoyimxaptsi
11110,obesity,"+ This generation can spend the night binge watching @netflix so much so that obesity is a major issue, worse, not interested in sex, birth rates are declining. However they all seem to have gym memberships or own a @onepeloton ! For show. 

Will they be healthy in future?", generation spend night binge watching netflix much obesity major issue worse interested sex birth rate declining however seem gym membership onepeloton show healthy future
11115,obesity,"@DanielHadas2 You're in England, correct?  You guys are right behind us in obesity/T2D issues.  That means your dietary academic community is failing -- in much the same way the COVID academic community failed the public.  

Here's a start.
t.co/4YyZzB7fEm",danielhadas youre england correct guy right behind u obesitytd issue mean dietary academic community failing much way covid academic community failed public here start tcoyyzzbfem
11121,obesity,@brookewyrick8 Nobody has ever died from obesity. The leading cause of death is diabetes followed closely by Covid thanks to Republicans who refused to wear 2 masks,brookewyrick nobody ever died obesity leading cause death diabetes followed closely covid thanks republican refused wear mask
11125,obesity,"Obesity is normally risky concerning our well being, quite a lot of the risks shown on this  webpage along with a neat solution t.co/gfAZy8K9V4",obesity normally risky concerning well quite lot risk shown webpage along neat solution tcogfazykv
11140,obesity,"@DrNadolsky So what is, then?

Asking as someone who has helped turn around countless cases of both obesity and diabetes in 100 countries… so curious as to your thoughts.",drnadolsky asking someone helped turn around countless case obesity diabetes country curious thought
11143,obesity,"The three types of rural areas:
1) resort based around mineral spa, skiing, or national park. Everyone is hot &amp; rich
2) ex-cult commune. People are old, rich, &amp; love crystals. Pretty buildings
3) legacy extraction settlements. 90% obesity, chicken processing plant main employer",three type rural area resort based around mineral spa skiing national park everyone hot amp rich excult commune people old rich amp love crystal pretty building legacy extraction settlement obesity chicken processing plant main employer
11153,obesity,"@bluebird21833 Great comment thanks for sharing. Lack of exercise, being overweight &amp; family history can definitely increase your chances of developing Dementia. Trump's obesity &amp; riding around in his golf cart isn't a good for anybody. Still no cure for Alzheimer's which is heartbreaking 4 All",bluebird great comment thanks sharing lack exercise overweight amp family history definitely increase chance developing dementia trump obesity amp riding around golf cart isnt good anybody still cure alzheimers heartbreaking
11155,obesity,"@whyyous0mad4 @NightsOutlaw @LostLeanore Listen, I know we have an obesity problem and it can get pretty confusing when you see someone with a normal, healthy body weight all of a sudden but just take a few deep breaths and relax. The trauma of this moment will pass.",whyyousmad nightsoutlaw lostleanore listen know obesity problem get pretty confusing see someone normal healthy body weight sudden take deep breath relax trauma moment pas
11157,obesity,"#Cancer #Obesity #CellularReality

""The investigators speculate that these findings are driven in part by the obesity epidemic, a hypothesis that is both provocative and plausible.""

t.co/OcvX7b0rlF t.co/KZUyOUPfCe

#SharedFacts #HealthScience #HumanReasoning",cancer obesity cellularreality investigator speculate finding driven part obesity epidemic hypothesis provocative plausible tcoocvxbrlf tcokzuyoupfce sharedfacts healthscience humanreasoning
11159,obesity,@viledeity_ Jesus. They won't make it to 2026 with that obesity.,viledeity jesus wont make obesity
11166,obesity,"Global prevalence of #NAFLD from 2020 study linked below, take charge if you are affected: 

1. Low carbs
2. Intermittent fasting
3. Avoid seed oils 

Same steps also work for #obesity and #type2diabetes t.co/qtTsciKvOd",global prevalence nafld study linked take charge affected low carbs intermittent fasting avoid seed oil step also work obesity typediabetes tcoqttscikvod
11168,obesity,Semaglutide is an excellent weight loss drug. Side effects mostly nausea and diarrhea which are usually mild and subside with time. Worth it considering one can lose up to 15% of their body weight. It'll be mainstay of obesity treatment.NEJM article here. t.co/71M15RfzmF t.co/OtZFJXm3gA,semaglutide excellent weight loss drug side effect mostly nausea diarrhea usually mild subside time worth considering one lose body weight itll mainstay obesity treatmentnejm article tcomrfzmf tcootzfjxmga
11170,obesity,"WATCH: IMPLICATIONS OF INCREASING INCIDENCE OF OBESITY IN GHANA 06/12/22
t.co/lS7UtCOw7d

Source: UTV Ghana Online",watch implication increasing incidence obesity ghana tcolsutcowd source utv ghana online
11171,obesity,"If you have obesity, prediabetes, or diabetes type 2 you need to do everything in your power to reverse it.

Your doctors are happy to see you every 3 months for refills of your medications, it has to come from within you to make a change and stand up!",obesity prediabetes diabetes type need everything power reverse doctor happy see every month refill medication come within make change stand
11174,obesity,"The last time I posted this recipe i mentioned this: look at the amount of sugar in one can of Manwich. 

6 grams of sugar per serving @ 6 servings per can = 36 grams. 

2 cans = 72 grams of sugar! 

It’s no wonder we have an obesity epidemic in this country. t.co/PJY0QloGZI",last time posted recipe mentioned look amount sugar one manwich gram sugar per serving serving per gram can gram sugar wonder obesity epidemic country tcopjyqlogzi
11177,obesity,"Supplementation with butyrate (a short-chain fatty acid) improved weight in children with #obesity (number needed to treat = 2). 

#MedTwitter #microbiome 

t.co/k3SwTTZcHd",supplementation butyrate shortchain fatty acid improved weight child obesity number needed treat medtwitter microbiome tcokswttzchd
11182,obesity,"@goodfoodgal The perfect combination. Sugar, obesity, bordering diabetes and several vaxinations and age… =💀💀💀",goodfoodgal perfect combination sugar obesity bordering diabetes several vaxinations age 
11193,obesity,@YNot99872327 @ZubyMusic Male obesity has risen too.,ynot zubymusic male obesity risen
11197,obesity,"We are pleased to invite you to our next edition of BE-STEMM Seminar Series on Thursday December 15, 2022 by @mcdowell_sheri

She will be speaking on ""Obesity associated inflammation and cancer progression""

Be sure to book a spot. REGISTRATION LINK BELOW
t.co/L8OeFy5Twj t.co/IvhzvyvIk4",pleased invite next edition bestemm seminar series thursday december mcdowellsheri speaking obesity associated inflammation cancer progression sure book spot registration link tcoloefytwj tcoivhzvyvik
11198,obesity,"@aaronhoyland Half the peasant farmers in Europe died of plague. They really should have got more fresh air and exercise, and watched their obesity levels",aaronhoyland half peasant farmer europe died plague really got fresh air exercise watched obesity level
11200,obesity,"Unchecked stress can affect your health significantly, causing anxiety, depression, headaches, chest pain, sleep problems, high blood pressure, heart disease, obesity, diabetes, and more, according to the Mayo Clinic. t.co/oYMomZuWk5",unchecked stress affect health significantly causing anxiety depression headache chest pain sleep problem high blood pressure heart disease obesity diabetes according mayo clinic tcooymomzuwk
11203,obesity,"@trialsofjob @SealOfTheEnd @bvanhall32 a bit of both. I think that 30 years into the obesity epidemic, a lot of men have convinced themselves that just because they can get it up for a hambeast, they must actually like them. It's a kind of stockholm syndrome. 

But I also think OP's thread has a selection bias",trialsofjob sealoftheend bvanhall bit think year obesity epidemic lot men convinced get hambeast must actually like kind stockholm syndrome also think ops thread selection bias
11209,obesity,"New Research: Nutritional status, food consumption, lifestyle, and physical fitness in rural and urban elementary school children in Northeast China: Childhood obesity is observed not only in developed countries but also in some developing… t.co/Sq6Z2NkF8F #Nutrition",new research nutritional status food consumption lifestyle physical fitness rural urban elementary school child northeast china childhood obesity observed developed country also developing tcosqznkff nutrition
11218,obesity,"Summary of National Guidance for Lipid Management for Primary &amp; Secondary Prevention of CVD
t.co/w4Isd11kbg
#CardioTwitter #cardiologia #cardiology #Cardiovascular @Novartis #MedTwitter #primarycare @Amgen #internalmedicine #telemedicine #TwitteRx #obesity #PharmaTwitter t.co/riz3cIvuw6",summary national guidance lipid management primary amp secondary prevention cvd tcowisdkbg cardiotwitter cardiologia cardiology cardiovascular novartis medtwitter primarycare amgen internalmedicine telemedicine twitterx obesity pharmatwitter tcorizcivuw
11220,obesity,Long-term air pollution exposure markers of cardiometabolic health in Study of Adolescent-Adult:long-term O3 exposure (2002-07) asso with⬆️odds of HT (OR) of 1.015 ; obesity (1.022); DM (1.032); metabolic syndrome (1.028; PM2.5 exposure with⬆️OR HT (1.022) t.co/VhFo1Eiky5,longterm air pollution exposure marker cardiometabolic health study adolescentadultlongterm exposure asso odds ht obesity dm metabolic syndrome pm exposure ht tcovhfoeiky
11221,obesity,"@blueeyedhound1 I'm an older woman, but I've had good results with Dr. Jason Fung's strategy, found in ""The Obesity Code""

(low carb, IF - no calorie counting)

free here t.co/gByUw8pBXj",blueeyedhound im older woman ive good result dr jason fungs strategy found obesity code low carb calorie counting free tcogbyuwpbxj
11222,obesity,"#Obesity affects some groups more than others, but there is hope. Learn what can be done to remove barriers to health: t.co/UZBQlrhpwS t.co/s22upCgYkM",obesity affect group others hope learn done remove barrier health tcouzbqlrhpws tcosupcgykm
11226,obesity,"@notinmybutt_ Didn't you hear, Obesity is beautiful 🙄😅",notinmybutt didnt hear obesity beautiful 
11227,obesity,@RalfThePowerful It’s not okay to make fun of fat people at the gym but it is okay to tell them their obesity is a problem. DUH.,ralfthepowerful okay make fun fat people gym okay tell obesity problem duh
11230,obesity,"Can Europeans stop making obesity an American issue. Like y’all definitely got some bitches built like refrigerators in your countries as well. AMERICANS! At least allow fat people some space to feel sexy, and attractive instead of ostracizing them.",european stop making obesity american issue like definitely got bitch built like refrigerator country well american least allow fat people space feel sexy attractive instead ostracizing
11234,obesity,"Registration is now open for #ECO2023! Early bird discounts are available. Programme details have now been published online; visit the website for full details.

t.co/PSa5CcJWbR

#obesity 
@EASOpresident t.co/IOKGQmsWRx",registration open eco early bird discount available programme detail published online visit website full detail tcopsaccjwbr obesity easopresident tcoiokgqmswrx
11239,obesity,@hmschicalta @emiweelee @ProvoSchoolDist It's a good message to an age group much more vulnerable to obesity,hmschicalta emiweelee provoschooldist good message age group much vulnerable obesity
11246,obesity,@jerryteixeira Dr Jill Haszard is fascinating for bio stats and Dr Rachael Taylor is doing fascinating work on sleep and obesity in children,jerryteixeira dr jill haszard fascinating bio stats dr rachael taylor fascinating work sleep obesity child
11250,obesity,Burning up obesity in a flash kicks off by regaining ones overall health utilising the information presented in this blog site t.co/0Iw64SfNw6,burning obesity flash kick regaining one overall health utilising information presented blog site tcoiwsfnw
11252,obesity,Three social media doctors in an Uber talking on their way to get a plane #some #medtwitter #meded #obesity #weight @JaimeAlmandoz @BevTchangMD @NeilFlochMD t.co/9Up487kIwm,three social medium doctor uber talking way get plane medtwitter meded obesity weight jaimealmandoz bevtchangmd neilflochmd tcoupkiwm
11261,obesity,"If you're an obesity specialist MD/DO/NP (or even with obesity experience) and want to work me and my team @joinsequence 

Click below to apply!

We are growing rapidly and in every state. #obesitymedicine 

t.co/zSwehcyPBm",youre obesity specialist mddonp even obesity experience want work team joinsequence click apply growing rapidly every state obesitymedicine tcozswehcypbm
11278,obesity,"With obesity, end-expiratory PAWP may also overestimate true preload. Tonelli has used esophageal pressures to estimate and subtract out the impact of intrathoracic pressures.
t.co/zRtbsnW8Uo
Averaged pressures correlated better w/ ""true"" pressures but signif variability.",obesity endexpiratory pawp may also overestimate true preload tonelli used esophageal pressure estimate subtract impact intrathoracic pressure tcozrtbsnwuo averaged pressure correlated better w true pressure signif variability
11279,obesity,"@DerekCarb4 @jacobhuneycutt_ Obesity isn’t a sin though. Laziness and slothfulness can be procrastination or decision paralysis from ADHD. We may be “overeating” because of grief or stress. Again, I advocate for erring on the side of grace here. +",derekcarb jacobhuneycutt obesity sin though laziness slothfulness procrastination decision paralysis adhd may overeating grief stress advocate erring side grace 
11287,obesity,"@EmmaSpecter noted obesity experts, random people on the internet!!!!!!",emmaspecter noted obesity expert random people internet
11289,obesity,This necessary video my partner circulated mainly because I observed a approach to get rid of your obesity quickly and improve health and well-being t.co/WQnRtDr4lH,necessary video partner circulated mainly observed approach get rid obesity quickly improve health wellbeing tcowqnrtdrlh
11294,obesity,"@GSIndustries80 @gainzy222 Respect their laws or don’t go there it’s very simple. The west is not morally superior the west is responsible for more war crimes, has more obesity, crimes, drug addicts, alcoholic, divorces, atheists, incarcerations, corruption than anyone! Respect Qatari laws!",gsindustries gainzy respect law go simple west morally superior west responsible war crime obesity crime drug addict alcoholic divorce atheist incarceration corruption anyone respect qatari law
11296,obesity,"This study would be more interesting if it wasn’t so predatory.  They paid low-income people with obesity to lose weight. $750 to be exact, and it worked. 

Its so sick and twisted t.co/SXYsOvtdzm",study would interesting predatory paid lowincome people obesity lose weight exact worked sick twisted tcosxysovtdzm
11297,obesity,"Over 75% of military age Americans are not suitable for military service because of obesity, drugs and criminal records.",military age american suitable military service obesity drug criminal record
11306,obesity,"I don't own $AMGN - so if $SNY is off the deal, no arb pressure on it - Ha!  I have no interest in AMGN, the hype of the obesity asset - yrs away - is beyond ridiculous.  Not that i care the obesity trade either, I think it's a fools' game for people paying at current prices.",dont amgn sny deal arb pressure ha interest amgn hype obesity asset yr away beyond ridiculous care obesity trade either think fool game people paying current price
11307,obesity,"#Cameroon Statistics

•Maternal mortality ratio: 529 deaths/100,000 live births (2017 est.)
•Physician density: 0.13 physicians/1,000 population (2019)
•HIV prev: 2.9% (2021 est.)
•Obesity: 11.4% (2016)

My problem here is the physicians that are paid less than $200/month.",cameroon statistic maternal mortality ratio death live birth est physician density physician population hiv prev est obesity problem physician paid le month
11310,obesity,"In this age of vanity and excess, over consumption of food has fostered a swelling obesity epidemic, and equal but opposite backlash as people attempt to lose weight.  

t.co/fpRYiUmuOe",age vanity excess consumption food fostered swelling obesity epidemic equal opposite backlash people attempt lose weight tcofpryiumuoe
11314,obesity,A huge amount of women definitely will eliminate obesity without delay via utilizing the foregoing option t.co/xTtBL6Q0UI,huge amount woman definitely eliminate obesity without delay via utilizing foregoing option tcoxttblqui
11315,obesity,"What an honor to host French ambassador to the U.S. 
@Ph_Etienne and his delegation.

The team toured @CUAnschutzWell and discussed an international research collaboration led by @A_Bergouignan of @CUMedicalSchool to study the role of sedentary behavior on metabolism and obesity. t.co/I5eqlkaWjC",honor host french ambassador u phetienne delegation team toured cuanschutzwell discussed international research collaboration led abergouignan cumedicalschool study role sedentary behavior metabolism obesity tcoieqlkawjc
11318,obesity,"#CocaCola
""Lobbies to slow down or avoid govt regulations taxes, marketing restrictions.
Industry associations  oppose policies.
Used messaging techniques to oppose food/nutrition policy. 
Takes stance physical activity than diets as key for obesity."" 

t.co/mPzpdT0X3u",cocacola lobby slow avoid govt regulation tax marketing restriction industry association oppose policy used messaging technique oppose foodnutrition policy take stance physical activity diet key obesity tcompzpdtxu
11320,obesity,"@elebull @LaurieAnn314 @RandPaul Under those circumstances (very young population, almost no obesity, almost entirely open air, breezy environment almost everywhere) COVID does not spread well enough to really harm very many people.",elebull laurieann randpaul circumstance young population almost obesity almost entirely open air breezy environment almost everywhere covid spread well enough really harm many people
11322,obesity,"@elebull @LaurieAnn314 @RandPaul But there are other factors as well. Some poor countries (Haiti is a great example) have a genuinely low death rate due to several factors:

1) Virtually zero obesity.
2) An extremely young population.
3) A climate and economy where people can and do leave windows open all year.",elebull laurieann randpaul factor well poor country haiti great example genuinely low death rate due several factor virtually zero obesity extremely young population climate economy people leave window open year
11328,obesity,"Andy Vermaut shares:Bariatric Surgery Effective for Class l Obesity: Patients with a BMI of 30 to 35 achieved good outcomes with bariatric surgery in a small, single-center study with 5-year follow-up. 
 Medscape Medical News t.co/5BwAJOInzS Thank you. t.co/jN90nY7KZo",andy vermaut sharesbariatric surgery effective class l obesity patient bmi achieved good outcome bariatric surgery small singlecenter study year followup medscape medical news tcobwajoinzs thank tcojnnykzo
11330,obesity,"Modesty for Allah isn’t the same as trying to hide your obesity and please your man, Chantal.",modesty allah trying hide obesity please man chantal
11332,obesity,@WHATSFORDlNNER Western diet. Obesity central. Pure greed and gluttony. No thanks!,whatsfordlnner western diet obesity central pure greed gluttony thanks
11344,obesity,"@mrmickme @x2IndSpeculator Indeed. 

COVID and other conditions (anxiety, addiction, obesity, mental health) are taking a toll on the labor force.

See this paper: data is for the UK but I believe it is a global trend, especially for GenZ,the most likely to be in service jobs.

t.co/atuCkOMwvG t.co/EvD9eyc7v8",mrmickme xindspeculator indeed covid condition anxiety addiction obesity mental health taking toll labor force see paper data uk believe global trend especially genzthe likely service job tcoatuckomwvg tcoevdeycv
11346,obesity,"Ah, culinary colonialism. In the ‘50s, as US turkey demand soared, one part of the bird was too “gross” for Americans—the fat-laden tail. Growers dumped tons of turkey ass on American Samoa, who soon ate 44lbs/capita/year—accelerating its obesity epidemic.
t.co/nNswjrkdQg",ah culinary colonialism u turkey demand soared one part bird gross american fatladen tail grower dumped ton turkey as american samoa soon ate lbscapitayear accelerating obesity epidemic tconnswjrkdqg
11347,obesity,Do you want to make a good gift at these parties? Give the book THE PHILLIPS METHOD TO STOP SMOKING A present for the whole life t.co/eQ4X9dcGhi #MethodsToStopSmoking #FightAgainstCancer #Obesity #Cancer #Selfhelp @phillipsjones13 @phillipsjones14 @MikoAucarod,want make good gift party give book phillips method stop smoking present whole life tcoeqxdcghi methodstostopsmoking fightagainstcancer obesity cancer selfhelp phillipsjones phillipsjones mikoaucarod
11353,obesity,Effect of Diet and Exercise on Knee Pain in Patients With Osteoarthritis and Overweight or Obesity t.co/QrgR9SCqdW via @JAMA_current part of @JAMANetwork t.co/wsEUjmskGJ,effect diet exercise knee pain patient osteoarthritis overweight obesity tcoqrgrscqdw via jamacurrent part jamanetwork tcowseujmskgj
11354,obesity,Displacing obesity abruptly will begin in cleaning up your well-being using the facts listed in our online video t.co/EGy4fuPPCo,displacing obesity abruptly begin cleaning wellbeing using fact listed online video tcoegyfuppco
11357,obesity,"Prader-Willi syndrome:the Paternal allele is mitated
HHHO syndrome:
Hypomentia
Hypogonadism
Hypotonia
Obesity",praderwilli syndromethe paternal allele mitated hhho syndrome hypomentia hypogonadism hypotonia obesity
11360,obesity,"New case:
Patient is delusional -  despite morbid obesity claims to be able to fit down small vertical spaces.
Visible alcohol flush, but claims to eat a diet consisting only of milk and cookies.
Frequent extended exposure to livestock

DDX go",new case patient delusional despite morbid obesity claim able fit small vertical space visible alcohol flush claim eat diet consisting milk cooky frequent extended exposure livestock ddx go
11365,obesity,so fricking tired of this narrative that the mere existence of fat &amp; obese people= glorification of obesity t.co/MX8x8g6lGg,fricking tired narrative mere existence fat amp obese people glorification obesity tcomxxglgg
11367,obesity,Loneliness is a greater hazard than obesity.,loneliness greater hazard obesity
11369,obesity,@RichardHanania Drugs will probably do more for obesity than anything else.,richardhanania drug probably obesity anything else
11371,obesity,Addressing childhood obesity also supports US military readiness t.co/Lgkce9PUi3,addressing childhood obesity also support u military readiness tcolgkcepui
11381,obesity,"@libertyF7R8 @cathyob1 @Mollyploofkins FALSE. While the US does have a serious problem with obesity, we are not the “fattest country of any other”.  Eleven other nations have a higher rate of obesity. Nauru is #1 with 61% of its population obese, Kuwait #11, 37.9%, US #12 at 36.2%",libertyfr cathyob mollyploofkins false u serious problem obesity fattest country eleven nation higher rate obesity nauru population obese kuwait u 
11383,obesity,"One of the greatest crimes of USian civilization - the “Heart Attack Grill” of Las Vegas is responsible for killing at least four patrons with obesity alone. They sell among other items the 20,000 calorie “Octuple Bypass Burger”. t.co/ie5VSEorSy",one greatest crime usian civilization heart attack grill la vega responsible killing least four patron obesity alone sell among item calorie octuple bypass burger tcoievseorsy
11387,obesity,"""The thinking went if people reduced saturated fat, they would replace it with healthy fruits and vegetables. Well, that was naive...it’s the overconsumption of carbohydrates, sugar and sweeteners that is chiefly responsible for obesity and Type 2 diabetes""t.co/OROZiBpUgW",thinking went people reduced saturated fat would replace healthy fruit vegetable well naiveit overconsumption carbohydrate sugar sweetener chiefly responsible obesity type diabetestcoorozibpugw
11391,obesity,Is maternal obesity during scheduled cesarean delivery a risk factor for fetal acidosis?  t.co/tblVFAdbWt #womenshealth maternalhealth #fetalhealth#meded #foamed,maternal obesity scheduled cesarean delivery risk factor fetal acidosis tcotblvfadbwt womenshealth maternalhealth fetalhealthmeded foamed
11396,obesity,"The January Issue of @TheLancetEndo is now online, featuring #ChildhoodCancer, #bone health, #pharmacogenomics, #GLP-1 receptor agonists, #CGM, #obesity, #multimorbidity, #COVID19, #vitaminD, #teplizumab, #T1D, #osteoporosis, #nurses, #diabilities &amp; more t.co/ft8CFDeSQz t.co/B85GbMSydj",january issue thelancetendo online featuring childhoodcancer bone health pharmacogenomics glp receptor agonist cgm obesity multimorbidity covid vitamind teplizumab td osteoporosis nurse diabilities amp tcoftcfdesqz tcobgbmsydj
11397,obesity,"3/3 Abstract (end)
But exactly because these diseases (menopause, prostate enlargement, obesity, atherosclerosis, hypertension, diabetes, presbyopia and others) are partially quasi-programmed, they can be delayed by slowing aging. Is aging a disease? The answer is startling", abstract end exactly disease menopause prostate enlargement obesity atherosclerosis hypertension diabetes presbyopia others partially quasiprogrammed delayed slowing aging aging disease answer startling
11398,obesity,"Health officials revise tool to track severe obesity in kids

t.co/6mdGH5NqE8 t.co/CXG0bBfieP",health official revise tool track severe obesity kid tcomdghnqe tcocxgbbfiep
11400,obesity,Health officials revise tool to track severe obesity in kids - The Associated Press - en Español: Health officials revise tool to track severe obesity in kids  The Associated Press - en Español t.co/aCWsLNDV8Q #AndyVermautLovesAP #Whatsapp0032499357495,health official revise tool track severe obesity kid associated press en español health official revise tool track severe obesity kid associated press en español tcoacwslndvq andyvermautlovesap whatsapp
11413,obesity,"Further evidence that the #microbiome may modulate our metabolic state and #obesity as it does in mice

Lactobacillus reuteri J1 prevents #obesity by altering the gut microbiota and regulating bile acid metabolism in obese mice - Food &amp; Function  t.co/oPoA1NTGhY",evidence microbiome may modulate metabolic state obesity mouse lactobacillus reuteri j prevents obesity altering gut microbiota regulating bile acid metabolism obese mouse food amp function tcoopoantghy
11415,obesity,"Why are the rates of obesity, autism, and other diseases skyrocketing?",rate obesity autism disease skyrocketing
11417,obesity,"@nicknorwitz @JeffryGerberMD Really sad to see this rather than showing people how to fight obesity in 3 simple steps. 

1. Avoid toxic vegetable/seed oils

2. Low processed Carbs

3. Intermittent Fasting built on solid base of TRE

""OBESITY IS A HORMONAL, NOT A CALORIC IMBALANCE""",nicknorwitz jeffrygerbermd really sad see rather showing people fight obesity simple step avoid toxic vegetableseed oil low processed carbs intermittent fasting built solid base tre obesity hormonal caloric imbalance
11419,obesity,"El World Obesity Atlas 2022, comparte un panorama muy preocupante para la salud mundial: mil millones de personas en todo el mundo vivirán con obesidad para 2030. t.co/WX3zoNgWBK t.co/5khJX8frBN",el world obesity atlas comparte un panorama muy preocupante para la salud mundial mil millones de persona en todo el mundo vivirán con obesidad para tcowxzongwbk tcokhjxfrbn
11424,obesity,"Why this analysis, you may ask? Well, the 2017 guideline contained new normative BP values for children and adolescents that were generated after removing children with overweight and obesity from the database  2/
t.co/rfGhcXEkP1 t.co/6Upvm6jKzI",analysis may ask well guideline contained new normative bp value child adolescent generated removing child overweight obesity database tcorfghcxekp tcoupvmjkzi
11428,obesity,"When doctors tell patients living with obesity to lose weight, their guidance is generally vague, superficial and often not supported by science t.co/gUDbWEl7hX",doctor tell patient living obesity lose weight guidance generally vague superficial often supported science tcogudbwelhx
11429,obesity,"Anyone here a hoarder, and willing to admit it? 

Anyone here been in the home of a hoarder?

What a fascinating disorder. I'm watching the reality show, Hoarders. It's no different than alcoholism, drug addiction, or morbid obesity in my opinion.",anyone hoarder willing admit anyone home hoarder fascinating disorder im watching reality show hoarder different alcoholism drug addiction morbid obesity opinion
11432,obesity,"@engineers_feed Hollywood, McDonald’s, Guns, Race Issues, Obesity. 

And baseball and apple pie and the ability to dream big. 

🤷‍♀️",engineersfeed hollywood mcdonald gun race issue obesity baseball apple pie ability dream big 
11433,obesity,"This month, we’re highlighting wellness tips to help you kick off 2023 on the right foot. Your body’s nutritional needs evolve. As you age, consider pescatarian or plant-based diets to help reduce your risk of obesity, #heartdisease, &amp; #hypertension. #medicalresearch #research t.co/DDVKq1an2q",month highlighting wellness tip help kick right foot body nutritional need evolve age consider pescatarian plantbased diet help reduce risk obesity heartdisease amp hypertension medicalresearch research tcoddvkqanq
11435,obesity,"Top #Microbiome story: Effectiveness of Fecal Microbiota Transplantation for Weight Loss in Patients With Obesity Undergoing Bariatric Surgery: A Randomized Clinical Trial - PubMed t.co/AUU9KtR8kg, see more t.co/g0I5C2Du4v",top microbiome story effectiveness fecal microbiota transplantation weight loss patient obesity undergoing bariatric surgery randomized clinical trial pubmed tcoauuktrkg see tcogicduv
11437,obesity,"@nycplayed @WardQNormal Two, obesity rates have continued to increase throughout the developed world despite higher health spending. t.co/6H2zpzFpAg",nycplayed wardqnormal two obesity rate continued increase throughout developed world despite higher health spending tcohzpzfpag
11439,obesity,obesity is a problem but it isn’t THE problem. it is the result of a much bigger problem. correcting your diet and getting jacked is your best shot at fixing the problem. you’re not guaranteed to succeed but that’s just life.,obesity problem problem result much bigger problem correcting diet getting jacked best shot fixing problem guaranteed succeed life
11441,obesity,Very interesting negative randomised trial. Fecal Microbiota Transplantation in Patients With Obesity Undergoing Bariatric Surgery t.co/y4yxsIhy9P via @JAMANetworkOpen part of @JAMANetwork,interesting negative randomised trial fecal microbiota transplantation patient obesity undergoing bariatric surgery tcoyyxsihyp via jamanetworkopen part jamanetwork
11443,obesity,"Filmmakers for ""The Whale"" say they made an empathetic portrait of a man with severe obesity. Critics are calling it exploitative. t.co/IgtLRULEau",filmmaker whale say made empathetic portrait man severe obesity critic calling exploitative tcoigtlruleau
